feature,coefficient,abs_coefficient
ca,1.278279477815012,1.278279477815012
thal,1.092440758257069,1.092440758257069
thalach,-0.6001287887137114,0.6001287887137114
cp,0.5758089007358491,0.5758089007358491
exang,0.442338796666626,0.442338796666626
trestbps,0.43254711380094213,0.43254711380094213
fbs,-0.42693459857073474,0.42693459857073474
slope,0.3958917649310085,0.3958917649310085
age,-0.33675156382267357,0.33675156382267357
restecg,0.33434398507196067,0.33434398507196067
oldpeak,-0.2785800137163744,0.2785800137163744
chol,0.0910767628416708,0.0910767628416708
