feature,coefficient,abs_coefficient
ST_Slope,-1.0248143789337163,1.0248143789337163
ChestPainType,-0.7301037148737417,0.7301037148737417
Sex,0.5728903536444887,0.5728903536444887
ExerciseAngina,0.5301089208196825,0.5301089208196825
Cholesterol,-0.47597762838996704,0.47597762838996704
FastingBS,0.4551957167607106,0.4551957167607106
Oldpeak,0.3566177003886222,0.3566177003886222
RestingECG,-0.16528861849322937,0.16528861849322937
Age,0.16438729011691175,0.16438729011691175
MaxHR,-0.15407441949213116,0.15407441949213116
RestingBP,0.06427002686257355,0.06427002686257355
